label,path
human,C:\Pawel\Datasets\human2simpson\human\Aaron_Eckhart\Aaron_Eckhart_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Aaron_Guiel\Aaron_Guiel_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Aaron_Patterson\Aaron_Patterson_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Aaron_Peirsol\Aaron_Peirsol_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Aaron_Peirsol\Aaron_Peirsol_0002.jpg
human,C:\Pawel\Datasets\human2simpson\human\Aaron_Peirsol\Aaron_Peirsol_0003.jpg
human,C:\Pawel\Datasets\human2simpson\human\Aaron_Peirsol\Aaron_Peirsol_0004.jpg
human,C:\Pawel\Datasets\human2simpson\human\Aaron_Pena\Aaron_Pena_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Aaron_Sorkin\Aaron_Sorkin_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Aaron_Sorkin\Aaron_Sorkin_0002.jpg
human,C:\Pawel\Datasets\human2simpson\human\Aaron_Tippin\Aaron_Tippin_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abbas_Kiarostami\Abbas_Kiarostami_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abba_Eban\Abba_Eban_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdel_Aziz_Al-Hakim\Abdel_Aziz_Al-Hakim_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdel_Madi_Shabneh\Abdel_Madi_Shabneh_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdoulaye_Wade\Abdoulaye_Wade_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdoulaye_Wade\Abdoulaye_Wade_0002.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdoulaye_Wade\Abdoulaye_Wade_0003.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdoulaye_Wade\Abdoulaye_Wade_0004.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdulaziz_Kamilov\Abdulaziz_Kamilov_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah\Abdullah_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah\Abdullah_0002.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah\Abdullah_0003.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah\Abdullah_0004.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Ahmad_Badawi\Abdullah_Ahmad_Badawi_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0001.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0002.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0003.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0004.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0005.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0006.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0007.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0008.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0009.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0010.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0011.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0012.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0013.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0014.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0015.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0016.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0017.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0018.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Gul\Abdullah_Gul_0019.jpg
human,C:\Pawel\Datasets\human2simpson\human\Abdullah_Nasseef\Abdullah_Nasseef_0001.jpg
